Filter,T,d,n,is_64_bit,average_time,compile_time,Value
Information Filter,174,2,3,True,0.05497407913208008,6.772818565368652,-5.631586954618097e+76
Sqrt Filter,174,2,3,True,0.02806665897369385,0.5616531372070312,-1268.8879749184932
Sqrt Inf Filter,174,2,3,True,0.0370978593826294,7.956246614456177,-9.844544979261247e+74
Kalman Filter,175,2,3,True,0.03257031440734863,0.4963188171386719,-1275.5808508731654
Information Filter,175,2,3,True,0.05688710212707519,6.3748674392700195,-7.100972495206132e+76
Sqrt Filter,175,2,3,True,0.027805328369140625,0.49297332763671875,-1275.5808508731657
Sqrt Inf Filter,175,2,3,True,0.03751029968261719,7.127772808074951,-3.2808642611792613e+75
Kalman Filter,176,2,3,True,0.035024046897888184,3.411699056625366,-1282.273726827838
Information Filter,176,2,3,True,0.055454254150390625,6.466363430023193,-1.068597008779438e+78
Sqrt Filter,176,2,3,True,0.027933335304260253,0.4904956817626953,-1282.2737268278381
Sqrt Inf Filter,176,2,3,True,0.036458706855773924,6.752232789993286,-1.3123369441437158e+76
Kalman Filter,177,2,3,True,0.032884407043457034,0.5134716033935547,-1288.9666027825103
Information Filter,177,2,3,True,0.05682249069213867,6.516185998916626,-1.28078767306724e+78
Sqrt Filter,177,2,3,True,0.028093695640563965,0.5053606033325195,-1288.9666027825106
Sqrt Inf Filter,177,2,3,True,0.037871694564819335,7.579041957855225,-4.1977252829494694e+76
Kalman Filter,178,2,3,True,0.03324079513549805,0.5149409770965576,-1295.6594787371828
